,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,São Félix do Xingu,-6.6447,-51.995,70.54,99,94,0.78,BR,1650780504
360,Bahía Blanca,-38.7196,-62.2724,57.47,45,2,9.33,AR,1650780231
361,Mpulungu,-8.7623,31.1141,74.21,78,89,7.05,ZM,1650780522
362,Altos del Rosario,8.7944,-74.1658,73.24,93,34,1.19,CO,1650780523
363,Hofn,64.2539,-15.2082,44.56,76,94,4.7,IS,1650780524
364,Grindavik,63.8424,-22.4338,43.27,75,100,3.44,IS,1650780524
365,Kruisfontein,-34.0033,24.7314,57.88,82,25,14.12,ZA,1650780525
366,Tunceli,39.1083,39.5471,67.3,34,19,1.3,TR,1650780526
367,Bonavista,48.6499,-53.1147,32.22,96,100,23.82,CA,1650780527
368,Kamra,33.7473,73.5111,82.96,17,2,1.41,PK,1650780528
369,Biritiba-Mirim,-23.5698,-46.0407,62.38,88,8,1.23,BR,1650780528
370,Eyl,7.9803,49.8164,85.55,58,61,9.35,SO,1650780529
371,Doha,25.2867,51.5333,89.91,48,0,11.5,QA,1650780485
372,Sungai Penuh,-2.0833,101.3833,77.4,73,96,2.08,ID,1650780531
373,Beian,63.6559,9.5683,47.01,57,0,12.66,NO,1650780531
374,Mogadishu,2.0371,45.3438,85.28,66,31,12.28,SO,1650780532
375,Margate,51.3813,1.3862,51.87,83,100,5.99,GB,1650780533
376,Narsaq,60.9167,-46.05,37.62,98,100,3.31,GL,1650780534
377,Visnes,59.3556,5.2242,49.82,46,0,11.5,NO,1650780326
378,Magadan,59.5667,150.8,36.54,64,100,2.39,RU,1650780535
379,Santa Cruz de Barahona,18.2085,-71.1008,75.78,78,98,5.5,DO,1650780536
380,Yangi Marg`ilon,40.4272,71.7189,63.32,82,75,20.71,UZ,1650780537
381,Laas,46.6166,10.7002,40.69,94,92,5.73,IT,1650780538
382,Gizo Government Station,-8.103,156.8419,84.6,65,90,1.86,SB,1650780539
383,Karratha,-20.7377,116.8463,90.19,33,3,15.05,AU,1650780539
384,Shar,49.5886,81.0453,37.18,30,16,12.91,KZ,1650780540
385,Zhiryatino,53.2228,33.7306,46.72,91,100,13.24,RU,1650780541
386,Mitsamiouli,-11.3847,43.2844,82.35,78,100,10.71,KM,1650780542
387,Pangnirtung,66.1451,-65.7125,6.22,64,33,7.85,CA,1650780543
388,College,64.8569,-147.8028,42.75,54,75,0.0,US,1650780543
389,Teguise,29.0605,-13.564,57.42,72,20,5.75,ES,1650780544
390,Languyan,5.2618,120.0807,82.74,80,32,3.06,PH,1650780545
391,Ojinaga,29.5667,-104.4167,79.75,17,0,3.44,MX,1650780546
392,Buala,-8.145,159.5921,82.47,78,51,4.18,SB,1650780547
393,Keti Bandar,24.1447,67.4497,87.3,55,46,17.74,PK,1650780548
394,Isugod,9.3408,118.1196,85.66,72,68,3.53,PH,1650780549
395,Nioro,13.35,-15.75,79.07,30,0,4.18,GM,1650780550
396,Mahārāganj,27.1333,83.5667,105.93,6,0,16.26,IN,1650780551
397,Katubao,5.8892,124.8294,85.33,74,73,5.3,PH,1650780551
398,Waipawa,-41.4122,175.5153,52.2,81,49,6.85,NZ,1650780328
399,Coffs Harbour,-30.3,153.1333,71.56,56,75,13.8,AU,1650780553
400,Aripuanã,-9.1667,-60.6333,71.46,99,62,1.59,BR,1650780258
401,Tiznit Province,29.5833,-9.5,51.84,82,85,10.16,MA,1650780554
402,Manadhoo,5.7667,73.3833,84.33,69,68,3.65,MV,1650780555
403,Xinzhou,38.4092,112.7333,83.7,10,100,9.15,CN,1650780556
404,Qaraçala,39.8132,48.9523,65.34,42,32,5.19,AZ,1650780557
405,Labé,11.3182,-12.2833,69.17,55,84,4.18,GN,1650780558
406,Darhan,49.4867,105.9228,47.98,22,68,4.74,MN,1650780558
407,Lavrentiya,65.5833,-171.0,27.72,86,100,2.68,RU,1650780325
408,Sikonge,-5.6333,32.7667,69.42,84,99,3.15,TZ,1650780560
409,Güstrow,53.7972,12.1734,46.99,93,75,12.66,DE,1650780561
410,Kidal,18.4411,1.4078,77.05,9,3,10.16,ML,1650780562
411,Malé,4.1748,73.5089,84.2,67,69,2.62,MV,1650780563
412,El Cobre,20.0489,-75.9469,72.84,83,20,5.75,CU,1650780564
413,Bereda,43.2686,-7.5406,47.41,97,96,4.41,ES,1650780565
414,Middelkerke,51.1558,2.8418,53.1,66,0,13.8,BE,1650780566
415,Erbil,36.1926,44.0106,76.82,20,96,4.61,IQ,1650780567
416,Magistral'nyy,56.1725,107.4458,34.74,46,100,5.26,RU,1650780568
417,Karpathos,35.507,27.2132,64.36,82,0,16.11,GR,1650780570
418,Sechura,-5.5569,-80.8222,68.22,84,56,9.84,PE,1650780571
419,Qasigiannguit,68.8193,-51.1922,26.85,98,100,1.92,GL,1650780377
420,Kenai,60.5544,-151.2583,44.02,68,20,6.91,US,1650780328
421,Laguna,38.421,-121.4238,61.02,59,0,4.61,US,1650780574
422,Svetlaya,46.5389,138.3297,52.36,55,33,18.45,RU,1650780575
423,Zhangaözen,43.3,52.8,59.85,40,2,5.01,KZ,1650780576
424,Sjøvegan,68.8726,17.8474,41.22,76,73,3.29,NO,1650780577
425,Nampula,-15.1165,39.2666,74.93,86,82,6.24,MZ,1650780578
426,Ubon Ratchathani,15.1667,105.1667,98.98,39,29,7.58,TH,1650780579
427,Kieta,-6.2167,155.6333,83.64,68,69,1.86,PG,1650780580
428,Moerai,-22.4333,-151.3333,77.56,72,78,20.76,PF,1650780581
429,Myaundzha,63.0494,147.1858,23.09,65,99,3.6,RU,1650780582
430,Larap,14.299,122.6504,86.11,66,76,9.24,PH,1650780583
431,Taoudenni,22.6783,-3.9836,71.56,20,5,8.88,ML,1650780584
432,Araguaçu,-12.9306,-49.8264,72.64,86,100,3.2,BR,1650780585
433,Svetlyy Yar,48.4748,44.781,53.2,56,99,7.83,RU,1650780586
434,Siteki,-26.45,31.95,66.29,82,11,3.27,SZ,1650780587
435,Berlevåg,70.8578,29.0864,39.0,95,100,18.59,NO,1650780588
436,Morro Bay,35.3658,-120.8499,60.15,76,0,1.01,US,1650780589
437,Izumo,35.3667,132.7667,71.31,65,75,5.37,JP,1650780590
438,Keroka,-0.7758,34.9453,59.92,93,100,4.41,KE,1650780591
439,Eydhafushi,5.1033,73.0708,84.09,70,53,3.31,MV,1650780592
440,Keminmaa,65.8596,24.8228,38.97,56,0,3.44,FI,1650780593
441,Yumen,40.2833,97.2,75.33,10,77,4.45,CN,1650780594
442,Fairbanks,64.8378,-147.7164,42.76,55,75,0.0,US,1650780595
443,Gunjur,13.2019,-16.7339,71.67,60,0,4.61,GM,1650780595
444,Murgūd,16.4,74.2,93.6,33,96,5.14,IN,1650780596
445,Tshela,-4.9833,12.9333,73.76,99,100,0.81,CD,1650780597
446,Kembé,4.6228,21.8865,73.4,89,95,4.05,CF,1650780598
447,Mustang,35.3842,-97.7245,67.75,93,100,12.66,US,1650780599
448,Morón,-34.6534,-58.6198,61.02,80,51,11.14,AR,1650780599
449,Nishihara,26.1842,127.7558,71.26,100,75,9.22,JP,1650780600
450,Akner,39.5349,46.3073,56.35,62,39,5.08,AM,1650780601
451,Touros,-5.1989,-35.4608,75.45,93,98,8.9,BR,1650780602
452,Oneonta,42.4529,-75.0638,48.29,89,76,3.58,US,1650780603
453,Algiers,36.7525,3.042,49.82,71,0,2.3,DZ,1650780604
454,Avera,33.194,-82.5271,62.65,91,3,6.46,US,1650780605
455,Hualmay,-11.0964,-77.6139,66.74,88,36,5.99,PE,1650780606
456,Inírida,3.8653,-67.9239,73.9,96,18,1.05,CO,1650780606
457,Constitución,-35.3333,-72.4167,56.61,92,98,8.55,CL,1650780607
458,Nefteyugansk,61.0998,72.6035,29.97,92,89,13.87,RU,1650780463
459,Starkville,33.4504,-88.8184,67.68,83,0,8.05,US,1650780581
460,Mossamedes,-15.1961,12.1522,68.79,83,20,4.94,AO,1650780609
461,Kuragino,53.8975,92.6725,35.38,33,100,7.76,RU,1650780611
462,Agüimes,27.9054,-15.4461,58.86,68,75,2.3,ES,1650780612
463,Kodino,63.7198,39.6447,33.98,77,100,3.56,RU,1650780612
464,Cap Malheureux,-19.9842,57.6142,78.48,67,69,8.99,MU,1650780613
465,Rio Grande,-32.035,-52.0986,57.07,66,0,6.6,BR,1650780408
466,Tokonou,9.65,-9.7833,72.88,81,86,5.32,GN,1650780615
467,Narón,43.5167,-8.1528,55.6,89,68,8.32,ES,1650780615
468,Mamakan,57.8161,114.0028,38.03,54,100,2.75,RU,1650780616
469,San Andrés,12.5847,-81.7006,82.42,78,20,8.05,CO,1650780617
470,Wanaka,-44.7,169.15,56.1,54,73,1.01,NZ,1650780618
471,Colares,38.7992,-9.4469,53.33,78,53,5.99,PT,1650780619
472,Toyooka,35.5333,134.8333,72.93,60,100,5.61,JP,1650780620
473,Kungurtug,50.5994,97.5228,41.04,45,71,12.28,RU,1650780620
474,Naze,28.3667,129.4833,72.03,84,100,7.25,JP,1650780621
475,Campbell River,50.0163,-125.2446,52.27,88,100,2.66,CA,1650780622
476,Labuhan,-6.8844,112.2051,86.61,66,100,3.18,ID,1650780479
477,Te Anau,-45.4167,167.7167,47.95,81,97,2.84,NZ,1650780623
478,Cabo Rojo,18.0866,-67.1457,73.98,84,98,7.52,PR,1650780624
479,Gao,16.6362,1.637,79.81,9,83,11.9,ML,1650780625
480,Pattani,6.75,100.4167,89.31,58,96,6.85,TH,1650780626
481,Zemio,5.0314,25.1361,76.96,73,99,3.89,CF,1650780627
482,Thinadhoo,0.5333,72.9333,84.74,69,100,6.62,MV,1650780628
483,Goundam,16.4145,-3.6708,76.98,14,4,11.43,ML,1650780629
484,Ucluelet,48.9329,-125.5528,49.08,85,99,7.11,CA,1650780400
485,La Cruz,23.9167,-106.9,68.95,86,0,2.75,MX,1650780630
486,Alta Floresta,-9.8756,-56.0861,71.02,97,100,1.32,BR,1650780631
487,Baykit,61.67,96.37,37.92,65,74,3.24,RU,1650780632
488,Zyryanka,65.75,150.85,25.92,75,100,5.57,RU,1650780633
489,Ketchikan,55.3422,-131.6461,45.07,81,100,14.97,US,1650780634
490,Takaka,-40.85,172.8,58.55,78,70,4.72,NZ,1650780635
491,Palanca,46.5333,26.1167,51.67,81,76,3.78,RO,1650780635
492,At-Bashi,41.1702,75.8106,57.42,34,79,3.33,KG,1650780377
493,Talladega,33.4359,-86.1058,62.49,100,100,0.0,US,1650780352
494,Oildale,35.4197,-119.0195,62.62,55,0,0.0,US,1650780638
495,Sibolga,1.7427,98.7792,86.74,69,92,5.68,ID,1650780441
496,Alamosa,37.4695,-105.87,37.38,38,75,8.05,US,1650780639
497,Arrondissement de Saint-Gaudens,43.0833,0.6667,48.52,96,100,8.9,FR,1650780640
498,Wajima,37.4,136.9,63.03,70,100,4.27,JP,1650780641
499,Basoko,1.2391,23.616,72.95,93,78,3.51,CD,1650780432
500,Camacha,33.0833,-16.3333,56.62,72,75,0.0,PT,1650780643
501,Shingū,33.7333,135.9833,62.74,93,100,8.43,JP,1650780643
502,Yārāda,17.65,83.2667,91.06,61,63,14.83,IN,1650780644
503,Bealanana,-14.55,48.7333,70.12,82,100,5.3,MG,1650780645
504,Tezu,27.9167,96.1667,71.73,83,100,3.8,IN,1650780646
505,Kloulklubed,7.0419,134.2556,81.1,80,100,8.95,PW,1650780647
506,Jiamusi,46.8333,130.35,57.63,19,53,20.58,CN,1650780648
507,Senador José Porfírio,-2.5908,-51.9542,72.32,97,100,2.17,BR,1650780649
508,Murgab,37.4966,61.9714,76.84,38,0,4.41,TM,1650780650
509,General Pico,-35.6566,-63.7568,57.67,66,2,7.74,AR,1650780650
510,Nāthdwāra,24.9333,73.8167,97.79,9,3,4.97,IN,1650780651
511,Falmouth,50.1544,-5.0711,47.3,91,96,7.87,GB,1650780652
512,Klaksvík,62.2266,-6.589,41.92,83,74,19.19,FO,1650780653
513,Gambo,4.6482,22.2633,72.64,90,95,3.42,CF,1650780654
514,Fereydūnkenār,36.6864,52.5225,60.8,74,21,5.46,IR,1650780655
515,Guane,22.2025,-84.0875,70.14,80,14,9.24,CU,1650780655
516,Ostrovnoy,68.0531,39.5131,33.93,96,95,15.43,RU,1650780656
517,Mbekenyera,-10.0,38.9833,76.3,91,100,0.69,TZ,1650780657
518,Staraya Toropa,56.2801,31.6702,46.9,93,100,10.67,RU,1650780658
519,Vani,42.0832,42.5216,69.49,46,0,24.16,GE,1650780659
520,Kintampo,8.0563,-1.7306,75.16,81,38,3.67,GH,1650780660
521,Mount Gambier,-37.8333,140.7667,67.55,48,0,9.08,AU,1650780661
522,Biak,-0.9131,122.8766,83.14,75,37,2.51,ID,1650780662
523,Verkhoyansk,67.5447,133.385,25.9,78,100,4.5,RU,1650780663
524,Privolzhskiy,51.4,46.0333,54.3,57,25,4.36,RU,1650780664
525,Straumen,63.8709,11.2999,39.2,74,27,3.42,NO,1650780664
526,Kharhiāl,20.2833,82.7667,107.22,14,11,6.26,IN,1650780665
527,‘Ewa Beach,21.3156,-158.0072,75.15,76,75,13.8,US,1650780666
528,Buda,30.0852,-97.8403,72.45,80,8,1.99,US,1650780667
529,Safi,32.2994,-9.2372,57.09,71,100,8.23,MA,1650780668
530,Port Hardy,50.6996,-127.4199,44.62,89,100,10.49,CA,1650780523
531,Muros,42.7762,-9.0603,53.83,89,84,6.38,ES,1650780669
532,Johnstown,40.3267,-78.922,64.74,83,0,6.91,US,1650780513
533,Nobeoka,32.5833,131.6667,66.04,92,100,1.77,JP,1650780671
534,Maţāy,28.419,30.7792,71.19,32,46,12.26,EG,1650780672
535,Mabaruma,8.2,-59.7833,72.57,98,26,2.04,GY,1650780673
536,Kaitong,44.8135,123.15,65.14,17,23,8.97,CN,1650780674
537,Jiuquan,39.7432,98.5174,74.35,10,49,8.32,CN,1650780675
538,Oktyabr'skoye,43.0645,44.7417,57.34,66,3,2.24,RU,1650780676
539,Praia,14.9215,-23.5087,75.74,46,0,17.27,CV,1650780676
540,Champerico,14.3,-91.9167,79.59,74,55,6.6,GT,1650780677
541,Riyadh,24.6877,46.7219,86.14,17,77,12.71,SA,1650780426
542,Worland,44.0169,-107.9554,39.88,78,100,19.57,US,1650780679
543,Pilar,-9.5972,-35.9567,75.13,94,20,0.85,BR,1650780680
544,Mgandu,-5.95,34.1333,66.94,84,98,6.76,TZ,1650780681
545,Basse,52.5518,9.5069,47.62,75,40,9.22,DE,1650780682
546,Vestmannaeyjar,63.4427,-20.2734,45.55,88,96,6.29,IS,1650780683
547,Maragogi,-9.0122,-35.2225,75.83,88,50,4.36,BR,1650780429
548,Islamkot,24.6997,70.177,99.61,17,3,11.45,PK,1650780684
549,Velyka Bilozerka,47.2776,34.7062,56.88,65,24,8.34,UA,1650780686
550,Cody,44.5263,-109.0565,35.82,82,100,9.22,US,1650780686
551,Korsholm,63.1142,21.6822,40.23,87,0,2.3,FI,1650780687
552,Aksu,41.1231,80.2644,78.17,21,36,2.77,CN,1650780688
553,Muisne,0.6,-80.0333,76.23,83,56,4.61,EC,1650780689
554,Robertson,36.5167,-86.8667,70.47,65,40,9.22,US,1650780690
555,Islaz,43.7333,24.75,56.08,63,1,3.76,RO,1650780691
556,Sydney,-33.8679,151.2073,72.9,61,20,12.66,AU,1650780687
557,Amarante do Maranhão,-5.5667,-46.7422,70.68,99,100,2.28,BR,1650780692
558,Muridke,31.8025,74.2617,93.22,13,1,7.94,PK,1650780693
559,Beroroha,-21.6667,45.1667,79.72,68,100,7.2,MG,1650780694
